id,tipo,genero
10192,Película,Comedia
10192,Película,Acción y aventura
10192,Película,Ciencia ficción y fantasía
10192,Película,Animación
10192,Película,Familiar
27205,Película,Acción y aventura
27205,Película,Ciencia ficción y fantasía
12444,Película,Acción y aventura
12444,Película,Ciencia ficción y fantasía
38757,Película,Animación
38757,Película,Familiar
38757,Película,Acción y aventura
10191,Película,Ciencia ficción y fantasía
10191,Película,Acción y aventura
10191,Película,Animación
10191,Película,Familiar
11324,Película,Drama
11324,Película,Suspenso
11324,Película,Misterio
38575,Película,Acción y aventura
38575,Película,Drama
38575,Película,Familiar
10138,Película,Acción y aventura
10138,Película,Ciencia ficción y fantasía
38365,Película,Comedia
48650,Película,Drama
48650,Película,Romance
20352,Película,Animación
20352,Película,Familiar
20352,Película,Comedia
10193,Película,Animación
10193,Película,Familiar
10193,Película,Comedia
24021,Película,Acción y aventura
24021,Película,Ciencia ficción y fantasía
24021,Película,Drama
24021,Película,Romance
12155,Película,Familiar
12155,Película,Ciencia ficción y fantasía
12155,Película,Acción y aventura
73861,Película,Crimen
73861,Película,Terror
73861,Película,Suspenso
38234,Película,Acción y aventura
38234,Película,Suspenso
38234,Película,Crimen
38234,Película,Drama
37799,Película,Drama
61979,Película,Romance
61979,Película,Drama
32657,Película,Acción y aventura
32657,Película,Ciencia ficción y fantasía
32657,Película,Familiar
23168,Película,Crimen
23168,Película,Drama
23168,Película,Suspenso
34851,Película,Ciencia ficción y fantasía
34851,Película,Acción y aventura
34851,Película,Suspenso
38055,Película,Animación
38055,Película,Acción y aventura
38055,Película,Comedia
38055,Película,Familiar
38055,Película,Ciencia ficción y fantasía
10140,Película,Acción y aventura
10140,Película,Familiar
10140,Película,Ciencia ficción y fantasía
27578,Película,Suspenso
27578,Película,Acción y aventura
18823,Película,Acción y aventura
18823,Película,Ciencia ficción y fantasía
44214,Película,Drama
44214,Película,Suspenso
44214,Película,Terror
23483,Película,Acción y aventura
23483,Película,Crimen
20526,Película,Acción y aventura
20526,Película,Ciencia ficción y fantasía
52629,Película,Acción y aventura
52629,Película,Crimen
52629,Película,Western
52629,Película,Comedia
52629,Película,Drama
26389,Película,Acción y aventura
26389,Película,Crimen
26389,Película,Suspenso
10196,Película,Acción y aventura
10196,Película,Ciencia ficción y fantasía
27581,Película,Acción y aventura
27581,Película,Comedia
27581,Película,Crimen
27581,Película,Suspenso
47931,Película,Drama
47931,Película,Acción y aventura
47931,Película,Crimen
9543,Película,Acción y aventura
9543,Película,Ciencia ficción y fantasía
22538,Película,Acción y aventura
22538,Película,Comedia
22538,Película,Romance
22894,Película,Terror
22894,Película,Acción y aventura
22894,Película,Ciencia ficción y fantasía
51608,Película,Acción y aventura
51608,Película,Suspenso
51608,Película,Crimen
43947,Película,Suspenso
43947,Película,Crimen
43947,Película,Terror
44115,Película,Acción y aventura
44115,Película,Drama
44115,Película,Suspenso
39514,Película,Acción y aventura
39514,Película,Comedia
39514,Película,Crimen
39514,Película,Suspenso
573531,Película,Animación
573531,Película,Historia y bélico
573531,Película,Acción y aventura
573531,Película,Ciencia ficción y fantasía
35552,Película,Ciencia ficción y fantasía
35552,Película,Acción y aventura
35552,Película,Misterio
27576,Película,Acción y aventura
27576,Película,Misterio
27576,Película,Suspenso
46738,Película,Drama
46738,Película,Historia y bélico
46738,Película,Misterio
44918,Película,Acción y aventura
44918,Película,Suspenso
44918,Película,Romance
43949,Película,Romance
43949,Película,Drama
43347,Película,Drama
43347,Película,Comedia
43347,Película,Romance
35019,Película,Comedia
35019,Película,Ciencia ficción y fantasía
35019,Película,Familiar
43593,Película,Comedia
43593,Película,Terror
44683,Película,Animación
44683,Película,Acción y aventura
44683,Película,Familiar
44683,Película,Ciencia ficción y fantasía
20504,Película,Acción y aventura
20504,Película,Suspenso
20504,Película,Ciencia ficción y fantasía
7978,Película,Terror
7978,Película,Suspenso
48466,Película,Animación
48466,Película,Comedia
48466,Película,Familiar
34544,Película,Acción y aventura
34544,Película,Comedia
34544,Película,Crimen
38167,Película,Drama
38167,Película,Romance
72641,Película,Ciencia ficción y fantasía
72641,Película,Animación
26022,Película,Drama
26022,Película,Romance
50723,Película,Acción y aventura
50723,Película,Animación
49797,Película,Suspenso
49797,Película,Terror
51620,Película,Acción y aventura
51620,Película,Suspenso
51620,Película,Ciencia ficción y fantasía
46705,Película,Drama
46705,Película,Romance
33217,Película,Comedia
33217,Película,Familiar
20662,Película,Acción y aventura
20662,Película,Historia y bélico
20662,Película,Drama
51739,Película,Ciencia ficción y fantasía
51739,Película,Animación
51739,Película,Familiar
25195,Película,Romance
25195,Película,Comedia
27022,Película,Ciencia ficción y fantasía
27022,Película,Acción y aventura
34016,Película,Romance
34016,Película,Comedia
44363,Película,Suspenso
41439,Película,Terror
41439,Película,Crimen
37834,Película,Acción y aventura
37834,Película,Comedia
46838,Película,Comedia
46838,Película,Terror
37707,Película,Terror
37707,Película,Ciencia ficción y fantasía
38358,Película,Terror
38358,Película,Suspenso
38358,Película,Misterio
41733,Película,Comedia
41733,Película,Drama
534643,Película,Sin clasificar
23437,Película,Terror
23437,Película,Misterio
23437,Película,Suspenso
22907,Película,Acción y aventura
22907,Película,Crimen
22907,Película,Drama
22907,Película,Suspenso
