id,tipo,titulo,titulo_latino,anio,generos,genero_principal,idioma_cod,idioma,paises,pais_principal,pais_principal_en,director,reparto,popularidad,votos,visibilidad,calificacion,calif_ponderada,presupuesto,recaudacion,roi,descripcion
10192,Película,Shrek Forever After,True,2010,"Comedia, Acción y aventura, Ciencia ficción y fantasía, Animación, Familiar",Comedia,en,Inglés,United States of America,Estados Unidos,United States of America,Mike Mitchell,"Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Walt Dohrn",203.893,7449,Muy alta (1000+),6.38,6.379,165000000.0,752600867.0,3.561217375757576,"A bored and domesticated Shrek pacts with deal-maker Rumpelstiltskin to get back to feeling like a real ogre again, but when he's duped and sent to a twisted version of Far Far Away - where Rumpelstiltskin is king, ogres are hunted, and he and Fiona have never met - he sets out to restore his world and reclaim his true love."
27205,Película,Inception,True,2010,"Acción y aventura, Ciencia ficción y fantasía",Acción y aventura,en,Inglés,"United Kingdom, United States of America",Reino Unido,United Kingdom,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe, Tom Hardy, Elliot Page",156.242,37119,Muy alta (1000+),8.369,8.36,160000000.0,839030630.0,4.2439414375,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious."
12444,Película,Harry Potter and the Deathly Hallows: Part 1,True,2010,"Acción y aventura, Ciencia ficción y fantasía",Acción y aventura,en,Inglés,"United Kingdom, United States of America",Reino Unido,United Kingdom,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Toby Jones, Helena Bonham Carter",121.191,19327,Muy alta (1000+),7.744,7.733,250000000.0,954305868.0,2.817223472,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever."
38757,Película,Tangled,True,2010,"Animación, Familiar, Acción y aventura",Animación,en,Inglés,United States of America,Estados Unidos,United States of America,"Byron Howard, Nathan Greno","Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman, M.C. Gainey",111.762,11638,Muy alta (1000+),7.6,7.583,260000000.0,592461732.0,1.2786989692307693,"Feisty teenager Rapunzel, who has long and magical hair, wants to go and see sky lanterns on her eighteenth birthday, but she's bound to a tower by her overprotective mother. She strikes a deal with Flynn Rider, a charming wanted thief, and the duo set off on an action-packed escapade."
10191,Película,How to Train Your Dragon,True,2010,"Ciencia ficción y fantasía, Acción y aventura, Animación, Familiar",Ciencia ficción y fantasía,en,Inglés,United States of America,Estados Unidos,United States of America,"Chris Sanders, Dean DeBlois","Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill",110.044,13259,Muy alta (1000+),7.8,7.783,165000000.0,494879471.0,1.9992695212121212,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast - which he names Toothless - much to the chagrin of his warrior father."
11324,Película,Shutter Island,True,2010,"Drama, Suspenso, Misterio",Drama,en,Inglés,United States of America,Estados Unidos,United States of America,Martin Scorsese,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow, Michelle Williams",101.551,24282,Muy alta (1000+),8.2,8.188,80000000.0,294804195.0,2.6850524375,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor."
38575,Película,The Karate Kid,True,2010,"Acción y aventura, Drama, Familiar",Acción y aventura,en,Inglés,"China, Hong Kong, United States of America",China,China,Harald Zwart,"Jaden Smith, Jackie Chan, Taraji P. Henson, Wenwen Han, Wang ZhenWei",96.385,6082,Muy alta (1000+),6.5,6.495,40000000.0,359126022.0,7.97815055,"Twelve-year-old Dre Parker could have been the most popular kid in Detroit, but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse, Dre's feelings make him an enemy of the class bully, Cheng. With no friends in a strange land, Dre has nowhere to turn but maintenance man Mr. Han, who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries, but maturity and calm, Dre realizes that facing down the bullies will be the fight of his life."
10138,Película,Iron Man 2,True,2010,"Acción y aventura, Ciencia ficción y fantasía",Acción y aventura,en,Inglés,United States of America,Estados Unidos,United States of America,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Sam Rockwell",95.255,21222,Muy alta (1000+),6.8,6.796,200000000.0,623933331.0,2.119666655,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances - and confront powerful enemies."
38365,Película,Grown Ups,True,2010,Comedia,Comedia,en,Inglés,United States of America,Estados Unidos,United States of America,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider",93.281,6212,Muy alta (1000+),6.394,6.392,80000000.0,271430189.0,2.3928773625,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend."
48650,Película,Room in Rome,True,2010,"Drama, Romance",Drama,es,Español,"France, Spain",Francia,France,Julio Medem,"Elena Anaya, Natasha Yarovenko, Enrico Lo Verso, Najwa Nimri, Ander Malles",90.23,748,Alta (100-999),6.416,6.398,,844281.0,,"A hotel room in the center of Rome serves as the setting for Alba and Natasha, two sexy and recently acquainted women, to have a physical adventure that touches their very souls."
